ride_hour,total_rides
0,32893
1,20469
2,13478
3,8591
4,7384
5,15914
6,45417
7,92075
8,136782
9,117371
10,106035
11,116382
12,131075
13,140091
14,151201
15,164318
16,179442
17,213772
18,203013
19,154331
20,108977
21,80521
22,66214
23,49835
